country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
argentina,3.029500652,-6.854225055,9.300122922,4.788683139,-2.14528445,1.265685175,-3.57858051,1.629664279,-3.110063898,1.757648183,-3.601609757,-2.994387889,-10.76510773,9.223955571
australia,1.521969537,-0.21120115,0.595353727,1.055747877,2.118897029,0.849416993,1.044489641,0.712256478,1.149347464,0.587161103,1.302840712,0.571102988,-1.278526283,1.293854563
brazil,4.054410664,-1.081942369,6.524370056,3.026401969,1.014540821,2.108885848,-0.352483145,-4.351475066,-4.069410924,0.50833798,0.988960033,0.462903687,-4.561462507,3.918336589
canada,-0.080294839,-4.030419849,1.949628189,2.142309009,0.663247995,1.253613813,1.841026124,-0.089285801,-0.135842621,1.811278917,1.335564285,0.426917853,-6.31922237,3.991761062
china,9.090280102,8.855947676,10.10283262,8.953816042,7.134523777,7.050734134,6.750760316,6.420736477,6.238215448,6.301863101,6.251700556,5.575316863,1.996619014,8.01334526
france,-0.303759657,-3.371737206,1.447008132,1.699612965,-0.17120673,0.05991638,0.479077572,0.754024352,0.829056665,1.994998447,1.585878806,1.620358453,-8.034379209,6.774306811
germany,1.152029742,-5.454577169,4.339606777,5.869635737,0.230160993,0.163870563,1.784341886,0.617105353,1.408102075,2.297206047,0.782690047,0.827864779,-4.647544976,2.93169775
india,1.587598304,6.351088271,7.04234767,3.893966041,4.165673052,5.135074506,6.186679513,6.796759064,7.082227583,5.665781149,5.35475685,2.692089827,-7.515674992,7.899879116
indonesia,4.620033675,3.247328238,4.812273068,4.748318533,4.606485522,4.151428229,3.639072303,3.555062495,3.758837332,3.841197264,3.987824861,3.87255979,-3.102651719,2.626356801
italy,-1.615940627,-5.711508383,1.400915343,0.53428744,-3.24206012,-2.9724038,-0.91781388,0.875477402,1.465690444,1.820333852,1.11781662,1.665736551,-8.597873461,7.33584014
japan,-1.272109949,-5.68145234,4.079223048,0.209251803,1.536786659,2.152371066,0.429381123,1.668465117,0.805362825,1.758611802,0.711770198,-0.100125011,-4.225555341,2.089279405
korea,2.23375226,0.27526898,6.274019889,2.891411994,1.865599496,2.696150961,2.556219509,2.268429401,2.539144729,2.870196962,2.462246216,1.8889146,-0.988631819,4.204822748
mexico,-0.357632975,-6.674165378,3.617190331,2.227163478,2.24713983,0.029452795,1.544035107,2.019036884,1.403020673,0.931456542,1.050314217,-1.269321979,-9.134043843,3.727622936
russia,5.246214033,-7.827749092,4.453094432,4.218725874,3.849155632,1.538963817,-1.045257463,-2.183888387,0.010248462,1.709389916,2.815525692,2.078811309,-2.771565332,
saudi.arabia,3.360690675,-4.787318594,2.008881749,6.704371032,2.203278785,-0.366627607,0.753970644,1.477045445,-0.603731004,-2.713852703,0.684349421,-1.322725826,-5.63929532,1.701947951
south.africa,1.823497224,-2.898732638,1.551072639,1.607665368,0.789721589,0.854344198,-0.179700599,-0.218801181,-0.806311267,-0.265300653,0.113021478,-1.196091441,-7.615875502,3.633257723
turkey,-0.382922616,-6.027912669,6.919606567,9.509983157,3.093101823,6.664883623,3.168090824,4.328127771,1.642463409,5.794264413,1.449522518,-0.427943737,0.695873101,10.06784818
united.kingdom,-1.021703087,-4.96888827,1.333971159,0.667756093,0.766760919,1.209899645,2.235458153,1.812661638,1.491364299,1.442929368,1.036855219,1.099995912,-9.601340319,7.049388486
united.states,-0.820367899,-3.450015923,1.860291678,0.814519358,1.533102035,1.138692347,1.540380649,1.953004118,0.933375362,1.610808083,2.378479223,1.824124482,-4.328617754,5.546087223
european.union,0.318805093,-4.57392502,2.106983959,2.039281422,-0.852714434,-0.274538554,1.322126916,2.088135334,1.791535562,2.655036035,1.90070974,1.763444784,-6.014992565,5.505842548