country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
argentina,7210.595548,8977.506851,8184.389889,10385.96443,12848.74048,13082.66433,13080.25473,12334.79825,13789.06042,12790.26406,14613.03571,11795.16289,9963.674231,8496.428157,10636.11553,13686.00867
australia,41023.75486,49681.21907,42810.46584,52132.46961,62598.68662,68047.37818,68156.3861,62515.31483,56708.9612,49876.71238,53934.15437,57206.99067,54941.06572,51722.069,60444.50236,64491.42989
brazil,7323.19034,8801.759475,8569.901805,11249.29374,13200.55817,12327.51556,12258.56485,12071.40465,8783.214413,8680.735421,9896.717511,9121.020092,8845.323931,6923.700197,7696.785531,8917.673898
canada,44659.89514,46710.50558,40876.31015,47562.08343,52223.69611,52669.08996,52635.17496,50955.99832,43596.13554,42315.60371,45129.4293,46547.79518,46374.15275,43349.67786,52358.62164,54966.48884
china,2693.958555,3468.327063,3832.227428,4550.473924,5614.385739,6300.582352,7020.385682,7636.074223,8016.446016,8094.390375,8817.045496,9905.406118,10143.86021,10408.71912,12617.50499,12720.21564
france,41557.62356,45515.96175,41737.76355,40676.06479,43846.46608,40870.85236,42602.71797,43068.54872,36652.92231,37062.53357,38781.04949,41557.85486,40494.89829,39055.28293,43658.97898,40963.83734
germany,41640.08087,45612.71062,41650.36783,41572.45595,46705.8958,43855.85447,46298.92292,48023.86998,41103.25644,42136.12079,44652.58917,47939.27829,46793.68676,46772.82535,51203.55447,48432.45587
india,1022.732476,993.5034125,1096.636136,1350.634457,1449.603301,1434.017978,1438.056995,1559.863772,1590.174322,1714.279541,1957.969814,1974.37773,2050.16379,1913.219721,2238.127139,2388.621198
indonesia,1840.329927,2144.389544,2239.095265,3094.443079,3613.800888,3668.212084,3602.885517,3476.624854,3322.581679,3558.818852,3839.785075,3902.661675,4151.227555,3895.618152,4334.215983,4787.999308
italy,37870.74751,40944.91242,37226.75719,36035.645,38649.63948,35051.52127,35560.08141,35565.72138,30242.38614,30960.73151,32406.72032,34622.16967,33673.75096,31918.69349,35770.04961,34157.99012
japan,35779.01568,39876.3063,41309.00165,44968.15623,48760.07895,49145.28043,40898.6479,38475.39525,34960.63938,39375.47316,38834.05293,39751.1331,40415.95676,39986.92863,39827.12677,33815.31727
korea,24086.41143,21350.42863,19143.85161,23087.22564,25096.26388,25466.76052,27182.73431,29249.57522,28732.23108,29288.87044,31616.8434,33436.92306,31902.4169,31721.29802,34997.78164,32254.62472
mexico,9719.927864,10119.82106,8104.922573,9399.964709,10341.50024,10376.0905,10865.68729,11076.13411,9753.400562,8875.082069,9434.378179,9857.007487,10145.15263,8654.997325,10045.67637,11091.30543
russia,9101.239258,11635.28418,8562.824219,10674.99023,14311.06445,15420.8584,15974.62305,14095.64648,9313.021484,8704.894531,10720.33203,11287.35449,11536.25879,10194.44141,12593.15723,15345.09668
saudi,15756.19362,18944.85735,15064.63128,17958.94783,22441.57114,24069.20331,23945.51231,23862.80119,20442.36606,19930.40754,20910.48296,24175.58312,23405.70611,20398.06099,24160.67605,30436.2783
safrica,6662.062785,6251.877175,6444.18672,8059.562841,8737.04111,8173.869138,7441.230854,6965.137897,6204.929901,5735.066787,6734.475153,7048.508112,6688.774746,5741.641249,7055.055176,6776.480077
turkey,9668.399443,10802.60048,8989.735883,10614.98457,11308.37174,11697.47436,12507.80316,12020.34966,10851.92011,10734.25647,10464.00779,9400.836337,9103.012397,8561.064333,9661.227734,10616.06104
uk,50438.2296,47432.8791,38820.01459,39693.19387,42150.69814,42485.58607,43449.09172,47447.58893,45071.07432,41146.07736,40622.68939,43306.3083,42747.08046,40318.41692,46585.89756,45850.42612
us,48050.22378,48570.04598,47194.94335,48650.64313,50065.9665,51784.41857,53291.12769,55123.84979,56762.72945,57866.74493,59907.75426,62823.30944,65120.39466,63528.6343,70219.47245,76398.59174
eu,33587.02654,37043.63193,33480.2285,32965.43636,35766.56392,33170.15826,34564.92795,35280.74883,30485.75829,31175.21585,33088.67455,35749.08806,35077.72858,34332.64496,38436.14921,37149.60859